,XVal,YVal,ZVal,time
0,-6.28,-7.75,-2.16,1.40966796875
1,-6.28,-7.75,-2.16,1.4642741680145264
2,-6.47,-7.75,-1.96,1.467266321182251
3,-6.28,-7.85,-2.16,1.467266321182251
4,-6.28,-7.75,-2.16,1.4699668884277344
5,-6.28,-7.75,-2.16,1.4699668884277344
6,-6.28,-7.85,-2.16,1.47298002243042
7,-6.47,-7.75,-2.16,1.4752824306488037
8,-6.47,-7.75,-2.16,1.4752824306488037
9,-6.47,-7.85,-2.16,1.4775633811950684
10,-6.28,-7.75,-2.16,1.478562355041504
11,-6.28,-7.75,-2.16,1.4811952114105225
12,-6.28,-7.75,-2.16,1.4832398891448975
13,-6.28,-7.75,-1.96,1.4832398891448975
14,-6.28,-7.75,-2.16,1.4863131046295166
15,-6.28,-7.85,-2.16,1.4863131046295166
16,-6.28,-7.85,-1.96,1.4892284870147705
17,-6.28,-7.75,-1.96,1.4912223815917969
18,-6.28,-7.75,-1.96,1.4922196865081787
19,-6.28,-7.75,-1.96,1.4943821430206299
20,-6.28,-7.75,-2.16,1.4943821430206299
21,-6.28,-7.75,-2.16,1.497284173965454
22,-6.28,-7.75,-2.16,1.4993870258331299
23,-6.28,-7.75,-1.86,1.5002751350402832
24,-6.28,-7.75,-2.16,1.5022709369659424
25,-6.28,-7.85,-1.96,1.5022709369659424
26,-6.28,-7.75,-2.16,1.505091905593872
27,-6.28,-7.75,-2.16,1.5079631805419922
28,-6.28,-7.75,-1.96,1.5079631805419922
29,-6.28,-7.75,-1.96,1.510704755783081
30,-6.47,-7.75,-1.96,1.510704755783081
31,-6.47,-7.75,-1.96,1.5133278369903564
32,-6.28,-7.75,-1.96,1.5133278369903564
33,-6.28,-7.75,-2.16,1.516103982925415
34,-6.28,-7.75,-2.16,1.5184736251831055
35,-6.28,-7.75,-1.96,1.519470453262329
36,-6.47,-7.75,-2.16,1.5211760997772217
37,-6.28,-7.75,-1.96,1.522174596786499
38,-6.28,-7.85,-2.16,1.523890495300293
39,-6.28,-7.75,-2.16,1.5272457599639893
40,-6.28,-7.75,-1.96,1.5272457599639893
41,-6.28,-7.75,-1.96,1.5297291278839111
42,-6.28,-7.75,-1.96,1.5297291278839111
43,-6.28,-7.75,-2.16,1.5322816371917725
44,-6.28,-7.75,-2.16,1.5355446338653564
45,-6.28,-7.85,-1.96,1.5355446338653564
46,-6.28,-7.75,-1.96,1.5376338958740234
47,-6.28,-7.75,-1.96,1.5376338958740234
48,-6.28,-7.75,-1.96,1.5405912399291992
49,-6.28,-7.75,-1.96,1.5430271625518799
50,-6.28,-7.75,-1.96,1.5430271625518799
51,-6.28,-7.75,-1.96,1.5461158752441406
52,-6.28,-7.75,-1.96,1.5461158752441406
53,-6.28,-7.75,-1.96,1.5491411685943604
54,-6.47,-7.75,-1.96,1.5509066581726074
55,-6.47,-7.75,-1.96,1.551903247833252
56,-6.47,-7.75,-1.96,1.5540671348571777
57,-6.47,-7.85,-2.16,1.5540671348571777
58,-6.28,-7.85,-2.16,1.5569162368774414
59,-6.47,-7.75,-2.16,1.5589110851287842
60,-6.28,-7.75,-2.16,1.5599074363708496
61,-6.28,-7.75,-2.16,1.5623559951782227
62,-6.28,-7.75,-2.16,1.5623559951782227
63,-6.28,-7.75,-1.96,1.56534743309021
64,-6.28,-7.75,-1.96,1.56534743309021
65,-6.28,-7.75,-1.96,1.5679397583007812
66,-6.28,-7.85,-1.96,1.5699362754821777
67,-6.28,-7.85,-1.96,1.5712404251098633
68,-6.28,-7.75,-1.96,1.572965145111084
69,-6.28,-7.75,-2.16,1.5738818645477295
70,-6.28,-7.85,-2.16,1.575974941253662
71,-6.28,-7.85,-1.96,1.5779712200164795
72,-6.28,-7.85,-1.96,1.578969955444336
73,-6.28,-7.75,-2.16,1.5809636116027832
74,-6.28,-7.75,-2.16,1.581960678100586
75,-6.28,-7.75,-1.96,1.5839996337890625
76,-6.28,-7.75,-1.96,1.5862369537353516
77,-6.28,-7.85,-1.96,1.5874886512756348
78,-6.28,-7.85,-1.96,1.589745283126831
79,-6.28,-7.85,-1.96,1.589745283126831
80,-6.28,-7.75,-1.96,1.5922415256500244
81,-6.28,-7.75,-1.96,1.594221591949463
82,-6.28,-7.85,-1.96,1.5962188243865967
83,-6.28,-7.75,-1.96,1.5972156524658203
84,-6.28,-7.75,-1.96,1.5982134342193604
85,-6.47,-7.75,-1.96,1.600414514541626
86,-6.47,-7.75,-1.96,1.603175163269043
87,-6.28,-7.75,-1.96,1.603175163269043
88,-6.28,-7.75,-2.16,1.6053316593170166
89,-6.28,-7.85,-2.16,1.6063308715820312
90,-6.28,-7.75,-1.96,1.6083250045776367
91,-6.28,-7.75,-1.96,1.612316370010376
92,-6.47,-7.75,-2.16,1.612316370010376
93,-6.47,-7.75,-1.96,1.6143100261688232
94,-6.18,-7.75,-1.96,1.6143100261688232
95,-6.28,-7.75,-2.16,1.6170856952667236
96,-6.28,-7.75,-2.16,1.6170856952667236
97,-6.47,-7.75,-1.96,1.6190626621246338
98,-6.47,-7.75,-1.96,1.6222317218780518
99,-6.47,-7.75,-1.96,1.6222317218780518
100,-6.47,-7.75,-2.16,1.6252257823944092
101,-6.47,-7.75,-2.16,1.6252257823944092
102,-6.28,-7.75,-2.16,1.6282198429107666
103,-6.28,-7.75,-2.16,1.6300549507141113
104,-6.28,-7.75,-2.16,1.6309285163879395
105,-6.28,-7.85,-1.96,1.63311767578125
106,-6.28,-7.85,-1.96,1.63311767578125
107,-6.28,-7.85,-2.16,1.635218620300293
108,-6.47,-7.75,-2.16,1.6377315521240234
109,-6.47,-7.75,-2.16,1.638730525970459
110,-6.47,-7.75,-1.96,1.641313076019287
111,-6.28,-7.75,-2.16,1.641313076019287
112,-6.47,-7.75,-2.16,1.6443068981170654
113,-6.28,-7.75,-2.16,1.6463022232055664
114,-6.28,-7.75,-1.96,1.64729905128479
115,-6.28,-7.75,-2.16,1.6492934226989746
116,-6.47,-7.75,-1.96,1.6492934226989746
117,-6.28,-7.75,-1.96,1.6520721912384033
118,-6.28,-7.75,-1.96,1.6549937725067139
119,-6.28,-7.75,-2.26,1.6549937725067139
120,-6.28,-7.75,-1.96,1.6571552753448486
121,-6.28,-7.75,-2.16,1.6581552028656006
122,-6.28,-7.85,-2.16,1.6602473258972168
123,-6.47,-7.75,-2.16,1.6627955436706543
124,-6.28,-7.75,-2.16,1.6627955436706543
125,-6.28,-7.75,-1.96,1.6651678085327148
126,-6.28,-7.75,-2.16,1.6660382747650146
127,-6.28,-7.85,-2.16,1.6680347919464111
128,-6.28,-7.75,-2.16,1.669032096862793
129,-6.28,-7.75,-2.16,1.6712188720703125
130,-6.28,-7.75,-2.16,1.6732134819030762
131,-6.28,-7.75,-1.96,1.6742112636566162
132,-6.28,-7.75,-1.96,1.6762068271636963
133,-6.28,-7.75,-1.96,1.6762068271636963
134,-6.18,-7.75,-1.96,1.6791996955871582
135,-6.28,-7.75,-1.96,1.6813929080963135
136,-6.28,-7.75,-1.96,1.6823921203613281
137,-6.28,-7.85,-1.96,1.684760570526123
138,-6.28,-7.75,-1.96,1.684760570526123
139,-6.47,-7.75,-1.96,1.6877539157867432
140,-6.28,-7.75,-1.96,1.6897497177124023
141,-6.47,-7.75,-1.96,1.6907463073730469
142,-6.47,-7.75,-2.16,1.6927406787872314
143,-6.28,-7.85,-1.96,1.6927406787872314
144,-6.28,-7.85,-2.16,1.695281982421875
145,-6.28,-7.75,-2.16,1.6982755661010742
146,-6.28,-7.75,-1.96,1.6982755661010742
147,-6.28,-7.75,-1.96,1.7010154724121094
148,-6.28,-7.85,-1.96,1.7010154724121094
149,-6.28,-7.75,-1.96,1.7050044536590576
150,-6.28,-7.75,-1.96,1.7060019969940186
151,-6.28,-7.75,-2.16,1.7060019969940186
152,-6.28,-7.75,-1.96,1.7090978622436523
153,-6.28,-7.75,-1.96,1.7090978622436523
154,-6.28,-7.75,-2.16,1.7120845317840576
155,-6.47,-7.85,-1.96,1.7143011093139648
156,-6.28,-7.75,-1.96,1.7143011093139648
157,-6.28,-7.75,-2.16,1.717294692993164
158,-6.28,-7.75,-2.16,1.717294692993164
