,XVal,YVal,ZVal
0,-6.86,-7.45,-1.47
1,-6.96,-7.45,-1.27
2,-6.96,-7.45,-1.47
3,-6.86,-7.45,-1.47
4,-6.96,-7.45,-1.47
5,-6.86,-7.45,-1.47
6,-6.96,-7.45,-1.47
7,-6.86,-7.45,-1.47
8,-6.96,-7.45,-1.47
9,-6.96,-7.45,-1.47
10,-6.96,-7.45,-1.47
11,-6.86,-7.45,-1.47
12,-6.96,-7.45,-1.47
13,-6.96,-7.26,-1.47
14,-6.96,-7.45,-1.47
15,-6.96,-7.45,-1.47
16,-6.96,-7.45,-1.47
17,-6.96,-7.45,-1.47
18,-6.96,-7.45,-1.47
19,-6.96,-7.45,-1.47
20,-6.86,-7.45,-1.57
21,-6.96,-7.45,-1.57
22,-6.96,-7.26,-1.57
23,-6.96,-7.45,-1.57
24,-6.96,-7.45,-1.57
25,-6.96,-7.45,-1.57
26,-6.96,-7.26,-1.47
27,-6.96,-7.45,-1.47
28,-6.96,-7.45,-1.57
29,-6.86,-7.45,-1.47
30,-6.96,-7.45,-1.47
31,-6.86,-7.45,-1.47
32,-6.86,-7.45,-1.47
33,-6.86,-7.45,-1.47
34,-6.86,-7.45,-1.47
35,-6.96,-7.45,-1.57
36,-6.86,-7.45,-1.57
37,-6.96,-7.45,-1.57
38,-6.96,-7.45,-1.57
39,-6.96,-7.45,-1.47
40,-6.96,-7.45,-1.47
41,-6.96,-7.45,-1.57
42,-6.96,-7.45,-1.47
43,-6.86,-7.45,-1.47
44,-6.96,-7.45,-1.47
45,-6.96,-7.45,-1.47
46,-6.96,-7.26,-1.47
47,-6.96,-7.16,-1.47
48,-6.96,-7.45,-1.47
49,-6.96,-7.45,-1.47
50,-6.96,-7.45,-1.47
51,-6.96,-7.45,-1.47
52,-6.96,-7.45,-1.57
53,-6.96,-7.45,-1.47
54,-6.96,-7.45,-1.57
55,-6.96,-7.45,-1.67
56,-6.96,-7.45,-1.57
57,-6.96,-7.45,-1.57
58,-6.96,-7.45,-1.47
59,-6.96,-7.45,-1.47
60,-6.96,-7.45,-1.47
61,-6.96,-7.45,-1.47
62,-6.96,-7.45,-1.47
63,-6.96,-7.45,-1.47
64,-6.96,-7.45,-1.47
65,-6.96,-7.45,-1.47
66,-6.86,-7.45,-1.47
